,PID,type2,month,M_ID,q1,q2_a_1,q5,q5_1,q5_2_1,q5_2_2,q5_2_3,q5_2_4,q5_2_5,q5_2_6,q10_1,q10_2,q10_3,q10_4,q10_5,q10_6,q10_7,q10_8,q10_9,q10_10,q10_11,q10_12,wt,q6_1,q6_1_1,q6_2,q6_6_1,q6_6_2,q6_6_3,q6_6_4,q6_6_5,q6_6_6,q6_6_7,q6_6_8,q6_6_9,q6_6_10,q6_6_11,q6_6_12,q6_6_13,q6_6_14,q6_6_15,q6_6_16,q6_6_17,q6_6_18,q6_6_19,q6_6_20,q6_6_21,q6_7,q6_8,q6_9,q7_2
56,1001904,2,8,900163,2,8,1,2,1,,,,,,4,4,4,9,4,4,4,4,4,4,4,4,6094.581398,921,10,2,1,2,3,,5,,,,,,,,,,,,,,,,,4,4,4,200000
57,1002201,1,5,109014,1,5,1,5,1,,,,,,4,4,4,9,4,9,4,4,4,4,4,4,2079.282966,923,310,1,1,2,,4,5,,,,,,,,,,,,,,,,,4,4,4,30000
58,1002201,2,8,118089,2,8,1,5,,,,,,,4,4,4,4,4,9,4,4,4,4,4,4,2079.282966,932,30,3,1,2,3,,,6,,,,,,,,,,,,,,,,4,4,4,150000
59,1002201,2,12,118102,2,12,1,5,1,,,,,,4,4,4,4,4,9,4,4,4,4,4,4,2079.282966,932,340,2,1,2,3,,5,,,,,,,,,,,,,,,,,4,4,4,70000
60,1002202,1,5,109023,2,5,1,5,1,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,2098.653514,931,130,3,1,2,,,5,,,,,,,,,,,,,,,,,4,4,4,380000
61,1002202,2,8,118089,2,8,1,5,,,,,,,4,4,4,4,4,9,4,4,4,4,4,4,2098.653514,932,30,3,1,2,3,,,6,,,,,,,,,,,,,,,,4,4,4,150000
62,1002203,2,8,118089,2,8,1,5,,,,,,,4,4,4,4,4,9,4,4,4,4,4,4,4372.500786,932,30,3,1,2,3,,,6,,,,,,,,,,,,,,,,4,4,4,150000
63,1002302,2,9,123176,2,9,1,4,,,,4,,,5,9,4,4,5,9,4,4,4,9,4,4,1606.33272,931,10,2,1,2,,,,6,,,,,,,,,,,,,,,,4,4,4,100000
64,1002303,1,1,109055,2,1,1,5,,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,12799.83867,932,60,3,1,2,3,,,6,,,,,,,,,,,,,,,,4,4,4,200000
65,1002303,1,5,109064,1,5,1,5,,,,,,,4,4,4,9,4,9,4,4,4,4,4,4,12799.83867,931,370,1,1,2,3,,,,,,,,,,,,,,,,,,,4,4,4,50000
