PID	M_ID	nature	traffic	food	info	facility	kind	total	loc_code	money	age	age_group	money_group	label_group	a_c
1084704	112419	4	4	4	4	4	4	4	932060	66667	29	2	2	5	강원 속초시
1089401	114962	5	3	3	4	4	3	3	932060	100000	68	5	3	15	강원 속초시
1094801	120424	4	5	4	5	4	4	4	932060	66667	55	4	2	11	강원 속초시
1094802	120424	4	5	4	5	4	4	4	932060	66667	52	4	2	11	강원 속초시
1094802	120427	4	5	4	4	4	5	4	932060	83333	52	4	2	11	강원 속초시
1094803	120424	4	5	4	5	4	4	4	932060	66667	25	2	2	5	강원 속초시
1094803	120427	4	5	4	4	4	5	4	932060	83333	25	2	2	5	강원 속초시
1096501	107105	4	4	4	3	4	4	4	932060	100000	75	5	3	15	강원 속초시
1098901	121386	4	4	4	3	4	4	4	932060	33333	63	5	1	13	강원 속초시
1098902	121386	4	4	4	3	4	4	4	932060	33333	63	5	1	13	강원 속초시
1104002	110052	4	5	4	4	3	3	4	932060	25000	43	3	1	7	강원 속초시
1105701	109442	3	4	3	4	3	4	4	932060	500000	59	4	3	12	강원 속초시
1106402	122892	5	5	5	5	5	5	4	932060	55000	40	3	2	8	강원 속초시
1106405	122892	5	5	5	5	5	5	4	932060	55000	37	3	2	8	강원 속초시
1106701	110430	4	4	4	4	4	4	4	932060	5000	73	5	1	13	강원 속초시
1107301	110822	4	4	4	4	4	4	4	932060	200000	64	5	3	15	강원 속초시
1107903	110594	4	4	5	3	3	4	4	932060	75000	27	2	2	5	강원 속초시
1108301	106647	5	4	5	5	5	5	5	932060	73333	73	5	2	14	강원 속초시
1117202	117873	4	4	4	4	4	4	4	932060	35000	65	5	1	13	강원 속초시
1118801	100212	5	3	5	4	4	4	4	932060	66667	69	5	2	14	강원 속초시
1119104	116224	4	4	4	3	3	3	4	932060	50000	40	3	2	8	강원 속초시
1121701	115027	4	4	4	4	4	4	5	932060	50000	50	4	2	11	강원 속초시
1121804	116757	4	4	4	4	4	4	4	932060	103333	20	2	3	6	강원 속초시
