,PID,M_ID,nature,traffic,food,info,facility,kind,total,loc_code,money,age,age_group,money_group,label_group,a_c,all
7184,1312401,117177,4,4,4,4,4,4,4,939010,300000,28,2,3,6,제주 제주시,9
7185,1517805,108413,4,4,4,4,4,4,4,939010,124167,26,2,3,6,제주 제주시,9
7186,1238101,122563,5,5,4,5,5,4,5,939010,83333,61,5,2,14,제주 제주시,9
7187,1277101,103990,5,4,3,4,5,3,4,939010,15000,39,3,1,7,제주 제주시,9
7188,1277102,103990,5,4,3,4,5,3,4,939010,15000,40,3,1,7,제주 제주시,9
7189,1510704,105103,4,4,4,4,4,4,4,939010,41667,34,3,1,7,제주 제주시,9
7190,1511501,108908,4,4,4,4,4,4,4,939010,25000,35,3,1,7,제주 제주시,9
7191,1511502,108908,4,4,4,4,4,4,4,939010,25000,35,3,1,7,제주 제주시,9
8524,1006102,110772,4,4,4,3,3,3,4,923320,3333,78,5,1,13,인천 옹진군,9
8525,1010701,107042,5,4,4,3,3,4,5,923320,50000,71,5,2,14,인천 옹진군,9
8526,1119901,103754,5,3,4,4,4,4,5,923320,60000,76,5,2,14,인천 옹진군,9
8527,1119902,103754,5,3,4,4,4,4,5,923320,60000,74,5,2,14,인천 옹진군,9
8528,1011201,102875,4,4,3,3,4,4,4,923320,155000,66,5,3,15,인천 옹진군,9
8529,1011202,102875,4,4,3,3,4,4,4,923320,155000,60,5,3,15,인천 옹진군,9
8530,1014302,102853,4,4,3,4,4,3,4,923320,155000,65,5,3,15,인천 옹진군,9
8531,1014302,900113,4,4,3,4,4,3,4,923320,155000,65,5,3,15,인천 옹진군,9
8532,1149901,119818,4,4,4,3,3,3,5,923320,100000,61,5,3,15,인천 옹진군,9
8533,1181801,116875,5,4,4,4,4,4,4,923320,175000,74,5,3,15,인천 옹진군,9
8534,1181802,116875,5,4,4,4,4,4,4,923320,175000,70,5,3,15,인천 옹진군,9
8535,1233202,116118,5,4,4,4,4,5,5,923320,100000,63,5,3,15,인천 옹진군,9
8536,1037701,121881,4,4,4,4,3,4,4,923320,75000,47,4,2,11,인천 옹진군,9
8537,1094401,120531,4,5,4,5,4,4,4,923320,50000,49,4,2,11,인천 옹진군,9
8538,1094402,120531,4,5,4,5,4,4,4,923320,50000,48,4,2,11,인천 옹진군,9
8539,1097502,110303,4,4,4,3,3,4,4,923320,50000,50,4,2,11,인천 옹진군,9
8540,1121801,101250,4,3,4,3,3,4,4,923320,56250,51,4,2,11,인천 옹진군,9
8541,1121802,101250,4,3,4,3,3,4,4,923320,56250,49,4,2,11,인천 옹진군,9
8542,1131901,120750,4,3,4,4,4,4,4,923320,75000,52,4,2,11,인천 옹진군,9
8543,1153102,102179,5,5,4,4,4,4,5,923320,50000,55,4,2,11,인천 옹진군,9
8544,1170601,120819,4,4,4,3,3,4,4,923320,50000,58,4,2,11,인천 옹진군,9
8545,1170602,120819,4,4,4,3,3,4,4,923320,50000,58,4,2,11,인천 옹진군,9
8546,1278501,120229,3,3,3,4,3,3,4,923320,62500,54,4,2,11,인천 옹진군,9
8547,1278502,120229,3,3,3,4,3,3,4,923320,62500,52,4,2,11,인천 옹진군,9
8548,1278502,120232,4,3,4,3,4,4,4,923320,55556,52,4,2,11,인천 옹진군,9
8549,1037702,121881,4,4,4,4,3,4,4,923320,75000,44,3,2,8,인천 옹진군,9
8550,1164204,119380,4,4,4,4,4,4,5,923320,50000,38,3,2,8,인천 옹진군,9
8551,1500301,110408,5,5,4,4,4,4,5,923320,80000,35,3,2,8,인천 옹진군,9
8552,1050101,302916,4,4,4,4,4,4,4,923320,23500,50,4,1,10,인천 옹진군,9
8553,1148001,303394,4,5,5,4,4,2,3,923320,10000,54,4,1,10,인천 옹진군,9
8554,1150801,120772,5,5,4,4,4,4,5,923320,25000,57,4,1,10,인천 옹진군,9
8555,1150802,120772,5,5,4,4,4,4,5,923320,25000,54,4,1,10,인천 옹진군,9
8556,1151701,101921,3,4,4,4,3,4,3,923320,30000,49,4,1,10,인천 옹진군,9
8557,1151702,101921,3,4,4,4,3,4,3,923320,30000,46,4,1,10,인천 옹진군,9
8558,1170302,301071,5,4,1,3,2,4,4,923320,20000,48,4,1,10,인천 옹진군,9
8559,1050102,302916,4,4,4,4,4,4,4,923320,23500,31,3,1,7,인천 옹진군,9
8560,1148002,303394,4,5,5,4,4,2,3,923320,10000,45,3,1,7,인천 옹진군,9
8561,1153403,122832,5,5,5,5,5,5,4,923320,28825,35,3,1,7,인천 옹진군,9
8562,1094403,120531,4,5,4,5,4,4,4,923320,50000,19,1,2,2,인천 옹진군,9
8563,1278505,120232,4,3,4,3,4,4,4,923320,55556,15,1,2,2,인천 옹진군,9
8564,1097504,110303,4,4,4,3,3,4,4,923320,50000,26,2,2,5,인천 옹진군,9
8565,1153703,103157,5,4,4,4,4,4,5,923320,50000,29,2,2,5,인천 옹진군,9
8566,1157303,102276,5,4,4,4,4,4,5,923320,50000,29,2,2,5,인천 옹진군,9
8567,1157303,900085,5,4,4,4,4,4,5,923320,50000,29,2,2,5,인천 옹진군,9
8568,1278503,120232,4,3,4,3,4,4,4,923320,55556,22,2,2,5,인천 옹진군,9
8569,1097504,119220,4,4,4,4,4,3,4,923320,30000,26,2,1,4,인천 옹진군,9
8570,1097504,119223,4,4,4,4,4,4,4,923320,10000,26,2,1,4,인천 옹진군,9
8571,1097504,119224,4,4,4,4,4,4,4,923320,20000,26,2,1,4,인천 옹진군,9
8572,1153405,122832,5,5,5,5,5,5,4,923320,28825,29,2,1,4,인천 옹진군,9
8573,1130502,115419,4,2,4,3,3,4,4,923320,325000,37,3,3,9,인천 옹진군,9
8574,1149704,102316,5,4,4,4,4,3,4,923320,500000,24,2,3,6,인천 옹진군,9
8575,1149704,900092,5,4,4,4,4,3,4,923320,500000,24,2,3,6,인천 옹진군,9
8576,1149902,119818,4,4,4,3,3,3,5,923320,100000,56,4,3,12,인천 옹진군,9
8577,1158501,122844,4,3,4,4,3,4,4,923320,50000,82,6,2,17,인천 옹진군,9
8578,1170603,120819,4,4,4,3,3,4,4,923320,50000,91,6,2,17,인천 옹진군,9
8579,1170604,120819,4,4,4,3,3,4,4,923320,50000,87,6,2,17,인천 옹진군,9
8580,1216901,106394,4,4,5,4,4,4,4,923320,80000,94,6,2,17,인천 옹진군,9
8581,1006103,123410,3,3,4,3,3,3,3,936380,90000,52,4,2,11,전남 장흥군,9
8582,1197001,102290,4,4,4,4,4,4,4,936380,75000,55,4,2,11,전남 장흥군,9
8583,1197002,102290,4,4,4,4,4,4,4,936380,75000,53,4,2,11,전남 장흥군,9
8584,1011302,120359,3,4,3,4,4,3,3,936380,40000,49,4,1,10,전남 장흥군,9
8585,1108401,115339,5,4,4,4,4,5,5,936380,45000,79,5,1,13,전남 장흥군,9
8586,1108402,115339,5,4,4,4,4,5,5,936380,45000,75,5,1,13,전남 장흥군,9
8587,1209201,114105,5,4,4,5,4,5,5,936380,30000,69,5,1,13,전남 장흥군,9
8588,1229601,115726,4,4,4,4,4,4,4,936380,25000,66,5,1,13,전남 장흥군,9
8589,1229602,115726,4,4,4,4,4,4,4,936380,25000,61,5,1,13,전남 장흥군,9
8590,1233201,104721,5,5,5,4,4,4,5,936380,30000,68,5,1,13,전남 장흥군,9
8591,1113501,104570,4,4,4,5,5,4,4,936380,50000,45,3,2,8,전남 장흥군,9
8592,1128501,114622,4,4,3,4,3,3,4,936380,58333,44,3,2,8,전남 장흥군,9
8593,1128502,114622,4,4,3,4,3,3,4,936380,58333,39,3,2,8,전남 장흥군,9
8594,1233902,107935,5,5,4,5,5,5,5,936380,59000,35,3,2,8,전남 장흥군,9
8595,1301301,107935,5,5,4,5,5,5,5,936380,59000,30,3,2,8,전남 장흥군,9
8596,1115001,115283,5,4,3,5,5,4,5,936380,150000,46,4,3,12,전남 장흥군,9
8597,1115001,115286,4,4,4,4,4,4,4,936380,150000,46,4,3,12,전남 장흥군,9
8598,1523102,115654,4,4,3,3,4,4,4,936380,180000,47,4,3,12,전남 장흥군,9
