,PID,M_ID,nature,traffic,food,info,facility,kind,total,loc_code,money,age,age_group,money_group,label_group,a_c,all
4839,1066802,100621,4,4,4,5,4,4,4,938070,100000,44,3,3,9,경남 김해시,6
4840,1247301,114528,3,4,4,4,4,4,3,938070,100000,37,3,3,9,경남 김해시,6
4841,1538301,113492,3,4,3,4,4,4,4,938070,125000,42,3,3,9,경남 김해시,6
4842,1538302,113492,3,4,3,4,4,4,4,938070,125000,40,3,3,9,경남 김해시,6
4843,1065503,114564,4,4,4,4,4,4,4,938070,183333,16,1,3,3,경남 김해시,6
4844,1072102,106491,4,4,4,4,4,4,4,938070,30000,63,5,1,13,경남 김해시,6
4845,1110202,122433,5,4,4,4,5,5,4,938070,10000,71,5,1,13,경남 김해시,6
4846,1270301,104587,4,4,3,3,4,4,4,938070,25000,69,5,1,13,경남 김해시,6
4847,1270302,104587,4,4,3,3,4,4,4,938070,25000,65,5,1,13,경남 김해시,6
4848,1073501,102835,4,4,3,4,4,4,4,938070,100000,46,4,3,12,경남 김해시,6
4849,1073502,102835,4,4,3,4,4,4,4,938070,100000,46,4,3,12,경남 김해시,6
4850,1075201,114606,4,4,3,4,3,4,4,938070,200000,54,4,3,12,경남 김해시,6
4851,1129002,303177,4,4,4,4,4,4,4,938070,53000,49,4,2,11,경남 김해시,6
4852,1270601,102128,4,4,4,4,4,4,4,938070,84000,56,4,2,11,경남 김해시,6
4853,1270602,102128,4,4,4,4,4,4,4,938070,84000,57,4,2,11,경남 김해시,6
4854,1538502,115848,3,4,4,4,4,4,4,938070,50000,47,4,2,11,경남 김해시,6
4855,1197501,102151,5,5,5,4,4,4,4,938070,112500,69,5,3,15,경남 김해시,6
4856,1197502,102151,5,5,5,4,4,4,4,938070,112500,67,5,3,15,경남 김해시,6
4857,1519502,103956,4,4,4,4,4,4,3,938070,100000,61,5,3,15,경남 김해시,6
4858,1242503,114352,4,5,4,4,5,4,4,938070,150000,28,2,3,6,경남 김해시,6
4859,1262301,122113,5,4,4,4,4,4,5,938070,41667,48,4,1,10,경남 김해시,6
