PID,M_ID,nature,culture,traffic,accom,food,shopping,info,facility,kind,program,price,cong,total
1006501,110862,4,3,3,3,3,3,4,4,3,4,3,3,3
1006601,110809,5,4,4,4,4,4,4,4,4,3,3,4,3
1006601,110809,5,4,4,4,4,4,4,4,4,3,3,4,3
1006601,110812,4,4,4,4,4,4,4,4,3,4,4,4,4
1006601,110814,4,4,4,4,4,4,4,4,4,4,4,4,4
1006601,123381,5,5,5,5,5,4,5,3,5,5,5,3,5
1006701,123645,3,4,3,3,4,3,3,3,3,3,2,3,3
1006801,110869,4,4,4,4,4,4,4,4,4,4,4,4,4
1006801,110869,4,4,4,4,4,4,4,4,4,4,4,4,4
1006801,110868,4,4,4,4,4,4,4,4,4,4,4,4,4
1006801,123577,3,3,3,4,3,3,3,3,3,3,3,3,4
1006801,123578,3,3,3,4,3,3,3,3,3,4,3,3,4
1006801,123579,5,4,5,5,4,5,3,3,3,5,2,3,5
1006801,123579,5,4,5,5,4,5,3,3,3,5,2,3,5
1006801,123579,5,4,5,5,4,5,3,3,3,5,2,3,5
1006802,110869,4,4,4,4,4,4,4,4,4,4,4,4,4
1006802,110869,4,4,4,4,4,4,4,4,4,4,4,4,4
1007101,110887,3,3,3,3,3,3,3,3,3,3,3,3,3
1007101,123606,4,3,5,4,3,3,3,3,4,4,1,4,4
1007101,123609,3,3,3,3,3,3,3,3,3,3,3,3,3
1007101,123610,3,3,3,3,3,3,3,3,3,3,3,3,3
1007201,100745,4,4,4,4,3,4,3,3,4,4,4,3,4
1007201,100746,4,4,4,3,3,3,4,3,4,3,3,3,3
1007201,116841,3,3,3,3,3,4,3,4,3,4,3,3,4
1007201,116846,3,3,3,3,3,3,4,3,3,3,3,3,3
1007202,100748,4,3,4,3,3,3,3,3,3,3,3,3,3
1007202,116849,3,4,3,4,3,4,4,3,3,4,3,3,4
1007401,110579,3,3,3,4,4,3,3,3,3,4,3,3,4
1007401,110581,3,3,3,3,3,3,3,3,3,3,3,3,3
1007401,123702,3,3,3,3,4,3,3,3,3,3,3,3,3
1007401,123703,4,3,3,4,4,3,3,3,3,4,3,3,4
1007401,123704,3,3,3,3,3,3,3,3,3,3,3,3,3
1007401,123705,3,3,3,3,3,3,3,3,3,3,3,3,3
1007402,110889,4,4,4,3,4,4,4,4,4,3,4,4,3
1007402,110890,4,4,4,3,5,4,4,4,4,3,4,4,3
1007402,123706,3,3,3,3,4,4,3,2,3,4,3,3,3
1007501,110892,4,4,4,4,4,3,4,3,3,4,4,4,3
1007501,110896,4,3,2,3,3,2,3,3,3,3,3,3,3
1007501,110898,3,3,3,3,3,3,3,3,3,4,3,3,4
1007502,110892,4,4,4,4,4,3,4,3,3,4,4,4,3
1007502,110895,4,4,4,4,4,4,4,4,4,4,4,4,4
1007502,110896,4,3,2,3,3,2,3,3,3,3,3,3,3
1007502,110898,3,3,3,3,3,3,3,3,3,4,3,3,4
1007502,123732,3,3,3,3,3,3,3,3,3,3,3,3,3
1007502,123739,3,3,3,5,3,3,3,3,3,3,3,3,3
1007601,110935,4,3,3,3,3,3,3,3,3,3,3,3,3
1007602,110935,4,3,3,3,3,3,3,3,3,3,3,3,3
1007602,110936,4,4,4,4,4,4,4,4,4,4,4,4,4
1007602,123691,3,3,3,4,3,4,3,4,3,4,4,4,4
1007603,110935,4,3,3,3,3,3,3,3,3,3,3,3,3
1007603,110937,3,3,3,3,3,3,3,3,3,3,3,3,3
1007701,110940,3,3,4,5,4,3,3,3,5,3,3,3,4
1007701,110941,5,4,5,4,5,4,3,3,5,5,4,5,5
1007701,110941,5,4,5,4,5,4,3,3,5,5,4,5,4
1007701,110941,5,4,5,4,5,4,3,3,5,5,4,5,5
1007701,123653,4,4,4,4,4,4,4,4,4,3,4,4,4
1007702,110940,3,3,4,5,4,3,3,3,5,3,3,3,4
1007702,110941,5,4,5,4,5,4,3,3,5,5,4,5,5
1007702,110941,5,4,5,4,5,4,3,3,5,5,4,5,4
1007702,110941,5,4,5,4,5,4,3,3,5,5,4,5,5
1007702,123653,4,4,4,4,4,4,4,4,4,3,4,4,4
1007801,110946,3,3,3,3,3,3,3,3,3,3,3,3,3
1007801,123692,4,3,3,3,3,3,3,3,3,3,3,3,3
1007801,123693,3,3,3,3,4,3,3,3,3,3,3,3,3
1007801,123696,3,3,3,3,3,3,3,3,3,3,3,3,3
1007801,123698,4,3,3,3,4,3,3,3,3,3,3,3,3
1007802,123692,4,3,3,3,3,3,3,3,3,3,3,3,3
1007802,123693,3,3,3,3,4,3,3,3,3,3,3,3,3
1007802,123696,3,3,3,3,3,3,3,3,3,3,3,3,3
1007802,123700,3,3,3,3,4,4,3,3,3,3,3,2,3
