PID,M_ID,q6_1,q6_1_1
1021701,104056,931,100
1021702,104056,931,100
1021801,104251,931,130
1021801,104254,938,350
1021802,104251,931,130
1021802,104254,938,350
1021803,104251,931,130
1021803,104254,938,350
1022101,115430,931,270
1022102,115430,931,270
1022501,117243,932,410
1022502,117243,932,410
1022603,119502,932,70
1022605,119502,932,70
1022701,121794,931,260
1022702,121794,931,260
1022702,121801,932,10
1022703,121781,932,340
1022704,120941,932,310
1022704,120953,931,260
1022705,120941,932,310
1022705,120953,931,260
1022707,106390,931,200
1022707,121781,932,340
1022708,106390,931,200
1022708,121781,932,340
1022802,117479,938,60
1022803,117479,938,60
1022901,122744,932,410
1022901,122745,936,20
1022901,122745,938,350
1022902,122744,932,410
1022902,122745,936,20
1022902,122745,938,350
1023101,104222,931,370
1023102,104223,932,10
1023102,104222,931,370
1023102,900170,932,10
1023102,119565,923,310
1023501,117084,932,60
1023502,104227,934,10
1023502,104224,933,360
1023502,117084,932,60
1023503,104224,933,360
1023503,117084,932,60
1023503,117087,931,10
1023504,104224,933,360
1023505,104224,933,360
1023604,300207,931,260
1023604,302211,931,100
1023604,303153,923,310
1023604,303739,931,100
1023701,122925,923,310
1023702,122925,923,310
1023706,102475,934,380
1023706,102479,934,380
1023706,102480,934,380
1023706,102483,934,380
1023706,102488,934,380
1023706,102492,911,230
1023706,118382,938,90
1023706,102500,932,310
1023706,118384,934,80
1023706,118386,934,30
1023802,105470,935,380
1023802,115450,936,400
1023803,105471,923,310
1023803,900237,923,310
1023803,115450,936,400
1023901,106044,931,200
1023902,106044,931,200
1024001,101403,922,40
1024001,117481,923,20
1024001,101400,932,370
1024001,117482,932,60
1024001,117482,921,90
1024001,117482,938,110
1024001,117482,936,460
1024001,117483,932,60
1024002,101403,922,40
1024002,117481,923,20
1024002,101400,932,370
1024002,117482,932,60
1024002,117482,921,90
1024002,117482,938,110
1024002,117482,936,460
1024002,117484,932,60
1024003,101403,922,40
1024003,117481,923,20
1024003,101400,932,370
1024003,117493,931,370
1024004,101406,931,370
1024004,101403,922,40
1024004,117481,923,20
1024004,101400,932,370
1024004,117482,932,60
1024004,117482,921,90
1024004,117482,938,110
1024004,117482,936,460
1024004,117483,932,60
1024103,118438,932,30
1024202,118451,931,200
1024203,104401,934,50
1024203,104381,932,390
1024203,104386,923,310
1024203,118448,932,60
1024203,118450,932,340
1024204,104381,932,390
1024204,104386,923,310
1024204,118448,932,60
1024204,118450,932,340
1024303,101389,923,310
1024303,122731,933,10
1024401,121072,935,370
1024402,121072,935,370
1024402,121080,931,70
1024502,104897,931,10
1024503,104923,939,20
1024503,122640,921,90
1024504,122642,935,330
1024802,105480,931,370
1024802,900238,931,370
1024803,105482,931,370
1024803,900239,931,370
1024803,118697,932,60
1024902,109129,931,260
1024902,121054,931,260
1025002,118257,931,100
1025003,118261,932,310
1025003,118257,931,100
1025101,103924,934,380
1025101,121018,923,310
1025102,103924,934,380
1025102,121018,923,310
1025402,107782,931,30
1025402,107793,934,370
1025402,122413,931,260
